CodFabrica,CodCliente,QtdTranspCIF,Custo por Unidade,Custo Total,QtdTransp Otimizada,Custo por Unidade com 5%,Custo Total com 5%
3403208,2301,"13.500,00000000000000000","0,55399037037037036","7.478,86999999999989086","5.973.721,00000000000000000","0,58168988888888895","7.852,81350000000111322"
3403208,2302,"10.500,00000000000000000","0,45700857142857143","4.798,59000000000014552","1.778.080,00000000000000000","0,47985900000000004","5.038,51950000000033469"
3403208,2303,"16.200,00000000000000000","0,41948703703703699","6.795,68999999999959982","5.958.798,00000000000000000","0,44046138888888886","7.135,47449999999935244"
3403208,2304,"1.199.100,00000000000000000","0,43445097990159287","520.950,16999999998370185","896.173,00000000000000000","0,45617352889667251","546.997,67850000003818423"
3403208,2305,"1.395.900,00000000000000000","0,46872366931728632","654.291,36999999999534339","3.241.494,00000000000000000","0,49215985278315066","687.005,93850000004749745"
3403208,2306,"1.332.000,00000000000000000","0,51831538288288281","690.396,08999999985098839","3.244.827,00000000000000000","0,54423115202702699","724.915,89449999993667006"
3403208,2307,"10.500,00000000000000000","0,50663523809523814","5.319,67000000000007276","12.738.726,00000000000000000","0,53196700000000008","5.585,65350000000125874"
3403208,2308,"1.400.100,00000000000000000","0,51514086850939222","721.248,73000000009778887","6.792.503,00000000000000000","0,54089791193486181","757.311,16650000005029142"
3403208,2309,"903.000,00000000000000000","0,40467710963455150","365.423,42999999999301508","7.471.374,00000000000000000","0,42491096511627907","383.694,60149999998975545"
3403208,2310,"817.500,00000000000000000","0,68031685626911320","556.159,03000000002793968","0,00000000000000000","0,71433269908256891","583.966,98150000011082739"
3403208,2311,"1.496.100,00000000000000000","0,35318429249381728","528.399,02000000001862645","7.295.028,00000000000000000","0,37084350711850816","554.818,97100000001955777"
3403208,2312,"1.214.700,00000000000000000","0,75131683543261707","912.624,55999999993946403","1.350.774,00000000000000000","0,78888267720424798","958.255,78800000005867332"
3403208,2313,"9.900,00000000000000000","0,71801414141414133","7.108,33999999999923602","1.439.856,00000000000000000","0,75391484848484847","7.463,75699999999960710"
3403208,2314,"37.200,00000000000000000","0,67347983870967731","25.053,44999999999708962","3.977.784,00000000000000000","0,70715383064516124","26.306,12249999999767169"
3403208,2315,"1.094.100,00000000000000000","0,78591549218535783","859.870,14000000001396984","3.666.906,00000000000000000","0,82521126679462575","902.863,64699999999720603"
3403208,2316,"939.300,00000000000000000","0,79433488768231664","746.118,76000000000931323","271.034,00000000000000000","0,83405163206643251","783.424,69800000009126961"
3403208,2317,"19.200,00000000000000000","0,79006458333333329","15.169,23999999999978172","1.272.373,00000000000000000","0,82956781250000000","15.927,70199999999931606"
3403208,2318,"1.474.200,00000000000000000","0,78194527879527875","1.152.743,72999999998137355","569.236,00000000000000000","0,82104254273504274","1.210.380,91650000005029142"
3403208,2319,"1.073.400,00000000000000000","0,65770912986771002","705.984,97999999998137355","0,00000000000000000","0,69059458636109550","741.284,22899999993387610"
3403208,2320,"9.000,00000000000000000","0,72496222222222217","6.524,65999999999985448","0,00000000000000000","0,76121033333333332","6.850,89300000000002910"
3403208,2321,"14.400,00000000000000000","0,76809166666666673","11.060,52000000000043656","0,00000000000000000","0,80649625000000014","11.613,54600000000209548"
3403208,2322,"1.120.500,00000000000000000","0,65844807675145034","737.791,07000000006519258","0,00000000000000000","0,69137048058902284","774.680,62350000010337681"
